"YearWeek","Percentage","State","Entropy","Actions","stat_code","act_code"
"2018_46",0.169491525423729,"very_low",5.15837272920031,"high",0,2
"2019_16",1.51515151515152,"very_low",4.29754393469019,"high",0,2
"2019_29",20.2614379084967,"medium",3.62926286984556,"medium",2,1
"2019_41",2.83505154639175,"very_low",4.12896217258124,"high",0,2
"2019_45",0.308641975308642,"very_low",4.95136461052256,"high",0,2
"2020_15",2.43673851921275,"very_low",4.757535543647,"high",0,2
"2020_17",0.258264462809917,"very_low",4.21745109141943,"high",0,2
"2020_20",0.695134061569017,"very_low",4.74888778365649,"high",0,2
"2020_25",1.09739368998628,"very_low",4.56732100013179,"high",0,2
"2020_26",1.21212121212121,"very_low",4.7128921975487,"high",0,2
"2020_28",3.50672121566335,"very_low",4.84115649102453,"high",0,2
"2020_4",1.0989010989011,"very_low",4.76471865977558,"high",0,2
"2020_6",2.39520958083832,"very_low",4.28190201449373,"high",0,2
"2020_7",0.62111801242236,"very_low",4.33560771683034,"high",0,2
"2020_8",64.6055437100213,"very_high",2.50333403791622,"low",4,0
"2021_3",0.673400673400673,"very_low",4.65107327009462,"high",0,2
"2022_33",0.573613766730402,"very_low",4.53264682604756,"high",0,2
"2022_44",0.162707452001302,"very_low",5.76312443323906,"high",0,2
